faceoff_won,time_since_faceoff,time_since_faceoff_F,time_since_faceoff_T,mean,se,lower,upper,time_variable
FALSE,0,0,0,0.000513936314324962,5.20941255380331e-05,0.000411831828270417,0.000616040800379507,t
FALSE,1,1,0,0.000509302916324413,4.56169653228344e-05,0.000419893664291658,0.000598712168357168,t
FALSE,2,2,0,0.000505049896621877,4.05793370638754e-05,0.000425514395976682,0.000584585397267073,t
FALSE,3,3,0,0.000501666886582039,3.73589215420404e-05,0.00042844340035964,0.000574890372804438,t
FALSE,4,4,0,0.000499760085684096,3.60992639706617e-05,0.000429005528301599,0.000570514643066593,t
FALSE,5,5,0,0.000499983803998114,3.65638932830441e-05,0.000428318573163347,0.00057164903483288,t
FALSE,6,6,0,0.000502991545889356,3.82297420325146e-05,0.000428061251505627,0.000577921840273085,t
FALSE,7,7,0,0.000509404401315514,4.05260504544428e-05,0.000429973342424807,0.000588835460206222,t
FALSE,8,8,0,0.000519791680587632,4.29987257702313e-05,0.000435514178077978,0.000604069183097285,t
FALSE,9,9,0,0.000534657232737414,4.53483786830406e-05,0.000445774410518654,0.000623540054956173,t
FALSE,10,10,0,0.000554424756832621,4.74089588576243e-05,0.000461503197471678,0.000647346316193565,t
FALSE,11,11,0,0.000579416424623472,4.91214053469575e-05,0.000483138470143435,0.000675694379103508,t
FALSE,12,12,0,0.000609821075579247,5.05203637447884e-05,0.000510801162639462,0.000708840988519032,t
FALSE,13,13,0,0.000645651036325401,5.17315742678263e-05,0.000544257150760461,0.00074704492189034,t
FALSE,14,14,0,0.000686690214820374,5.29666817988878e-05,0.000582875518494554,0.000790504911146194,t
FALSE,15,15,0,0.000732440325505102,5.4495509647525e-05,0.000625629126595953,0.000839251524414251,t
FALSE,16,16,0,0.000782076320797828,5.65789738227452e-05,0.000671181532105247,0.000892971109490408,t
FALSE,17,17,0,0.000834425216606342,5.93693447480703e-05,0.000718061300900124,0.00095078913231256,t
FALSE,18,18,0,0.00088798298831068,6.28214095727344e-05,0.000764853025548121,0.00101111295107324,t
FALSE,19,19,0,0.000940980656022066,6.66707333036449e-05,0.000810306018746922,0.00107165529329721,t
FALSE,20,20,0,0.000991502524400132,7.04993490993547e-05,0.000853323800165397,0.00112968124863487,t
FALSE,21,21,0,0.00103764786254451,7.38587970066764e-05,0.00089288462041142,0.00118241110467759,t
FALSE,22,22,0,0.00107771500650842,7.64003455767707e-05,0.00092797032917795,0.00122745968383889,t
FALSE,23,23,0,0.0011103779722356,7.79712860945626e-05,0.000957554251490255,0.00126320169298094,t
FALSE,24,24,0,0.00113482379044605,7.86516148568287e-05,0.000980666625326661,0.00128898095556543,t
FALSE,25,25,0,0.00115082538367824,7.87192252538622e-05,0.000996535702180669,0.00130511506517581,t
FALSE,26,26,0,0.00115873829099621,7.85492123321468e-05,0.0010047818348252,0.00131269474716722,t
FALSE,27,27,0,0.00115942572169805,7.8478178394464e-05,0.0010056084920449,0.0013132429513512,t
FALSE,28,28,0,0.00115413026863095,7.86885133324664e-05,0.000999900782499313,0.00130835975476258,t
FALSE,29,29,0,0.00114431835562468,7.9166390388858e-05,0.000989152230462517,0.00129948448078684,t
FALSE,30,30,0,0.00113152391011771,7.97474571566428e-05,0.000975218894090686,0.00128782892614473,t
FALSE,31,31,0,0.00111721219863283,8.02141166924402e-05,0.000959992529915643,0.00127443186735001,t
FALSE,32,32,0,0.00110267613322815,8.03910285862568e-05,0.000945109717199087,0.00126024254925721,t
FALSE,33,33,0,0.00108896869304762,8.02052457062213e-05,0.000931766411463427,0.00124617097463181,t
FALSE,34,34,0,0.00107686855396058,7.97047420272192e-05,0.000920647259587226,0.00123308984833393,t
FALSE,35,35,0,0.00106687245130897,7.90430645754362e-05,0.000911948044741118,0.00122179685787683,t
FALSE,36,36,0,0.00105920699444832,7.84392320365611e-05,0.000905466099656659,0.00121294788923998,t
FALSE,37,37,0,0.00105385375171725,7.81204304852866e-05,0.000900737707966091,0.00120696979546841,t
FALSE,38,38,0,0.00105058339580622,7.82577350893454e-05,0.000897198235031099,0.00120396855658133,t
FALSE,39,39,0,0.00104899663573414,7.89119568714579e-05,0.000894329200266079,0.00120366407120219,t
FALSE,40,40,0,0.00104857093414586,8.00098764815359e-05,0.000891751576242053,0.00120539029204967,t
FALSE,41,41,0,0.0010487123116727,8.13623470220128e-05,0.000889242111509551,0.00120818251183584,t
FALSE,42,42,0,0.00104881088657598,8.27180290416065e-05,0.000886683549654432,0.00121093822349753,t
FALSE,43,43,0,0.00104829748727831,8.38328072315006e-05,0.00088398518510457,0.00121260978945205,t
FALSE,44,44,0,0.00104669722230199,8.45330953976659e-05,0.000881012355322567,0.00121238208928142,t
FALSE,45,45,0,0.00104367489738472,8.47574750581544e-05,0.000877550246270738,0.0012097995484987,t
FALSE,46,46,0,0.00103906714018428,8.45683884498249e-05,0.000873313098822622,0.00120482118154594,t
FALSE,47,47,0,0.00103289725964309,8.41314738902019e-05,0.000867999570818292,0.00119779494846788,t
FALSE,48,48,0,0.00102537107468113,8.36663227590015e-05,0.000861385082073489,0.00118935706728878,t
FALSE,49,49,0,0.0010168546818616,8.33807417348155e-05,0.000853428428061359,0.00118028093566184,t
FALSE,50,50,0,0.00100783769209989,8.34091015992346e-05,0.00084435585296539,0.00117131953123439,t
FALSE,51,51,0,0.000998887210125875,8.37774846905373e-05,0.000834683340132422,0.00116309108011933,t
FALSE,52,52,0,0.000990598393973232,8.44083983085795e-05,0.000825157933288416,0.00115603885465805,t
FALSE,53,53,0,0.000983546830024469,8.51597387661536e-05,0.000816633742042808,0.00115045991800613,t
FALSE,54,54,0,0.000978246535157622,8.58790764671142e-05,0.000809923545282078,0.00114656952503317,t
FALSE,55,55,0,0.000975115665855914,8.64533672867486e-05,0.000805667065973887,0.00114456426573794,t
FALSE,56,56,0,0.000974450476761433,8.68421292988562e-05,0.000804239903335675,0.00114466105018719,t
FALSE,57,57,0,0.000976407078223516,8.70902379190831e-05,0.000805710211902113,0.00114710394454492,t
FALSE,58,58,0,0.000980990230536264,8.73202488642778e-05,0.00080984254276228,0.00115213791831025,t
FALSE,59,59,0,0.000988048713122422,8.7704814036334e-05,0.000816147277611208,0.00115995014863364,t
FALSE,60,60,0,0.000997277494955225,8.84212843924689e-05,0.000823971777545986,0.00117058321236446,t
FALSE,61,61,0,0.00100822768933372,8.95960827867142e-05,0.000832619367071757,0.00118383601159568,t
FALSE,62,62,0,0.00102032575380432,9.12546075822704e-05,0.000841466722943075,0.00119918478466557,t
FALSE,63,63,0,0.0010329032865615,9.3296543374103e-05,0.000850042061548259,0.00121576451157474,t
FALSE,64,64,0,0.00104523788502866,9.55098172593034e-05,0.000858038643200426,0.0012324371268569,t
FALSE,65,65,0,0.00105660388184941,9.76210727765567e-05,0.000865266579207354,0.00124794118449146,t
FALSE,66,66,0,0.00106632962576816,9.93665492316695e-05,0.00087157118927409,0.00126108806226223,t
FALSE,67,67,0,0.00107385584258195,0.00010056204408815,0.000876754236169178,0.00127095744899473,t
FALSE,68,68,0,0.0010787881428478,0.000101153049841605,0.000880528165158257,0.00127704812053735,t
FALSE,69,69,0,0.00108093652188351,0.000101231550816702,0.000882522682282777,0.00127935036148425,t
FALSE,70,70,0,0.00108033601373307,0.000101012446436919,0.000882351618716711,0.00127832040874943,t
FALSE,71,71,0,0.00107724535349101,0.000100771662983241,0.000879732894043863,0.00127475781293817,t
FALSE,72,72,0,0.00107212396386949,0.000100761130668244,0.000874632147759729,0.00126961577997925,t
FALSE,73,73,0,0.00106559094248824,0.000101129247434096,0.000867377617517416,0.00126380426745907,t
FALSE,74,74,0,0.00105837215243491,0.000101878862737498,0.000858689581469414,0.0012580547234004,t
FALSE,75,75,0,0.00105124249397756,0.000102879915357631,0.000849597859876599,0.00125288712807851,t
FALSE,76,76,0,0.00104496990644904,0.000103927779197073,0.000841271459222775,0.0012486683536753,t
FALSE,77,77,0,0.00104026598725114,0.000104820310678678,0.000834818178320932,0.00124571379618135,t
FALSE,78,78,0,0.00103774593473797,0.000105427043790193,0.000831108928909188,0.00124438294056674,t
FALSE,79,79,0,0.00103789845620602,0.000105735596880552,0.000830656686320141,0.00124514022609191,t
FALSE,80,80,0,0.00104106480236613,0.000105870242417484,0.000833559127227858,0.00124857047750439,t
FALSE,81,81,0,0.00104742542023888,0.000106080118431141,0.000839508388113847,0.00125534245236392,t
FALSE,82,82,0,0.00105699284115833,0.00010669290315005,0.000847874750984228,0.00126611093133243,t
FALSE,83,83,0,0.00106961014038009,0.000108032095885881,0.000857867232443765,0.00128135304831642,t
FALSE,84,84,0,0.00108495530924096,0.000110309750679954,0.000868748197908251,0.00130116242057367,t
FALSE,85,85,0,0.00110255281156402,0.000113528308950068,0.000880037326021891,0.00132506829710616,t
FALSE,86,86,0,0.00112179410242242,0.000117435922540609,0.000891619694242824,0.00135196851060201,t
FALSE,87,87,0,0.00114196868655297,0.000121562471761384,0.000903706241900657,0.00138023113120528,t
FALSE,88,88,0,0.00116230624260979,0.000125329944480798,0.000916659551427423,0.00140795293379215,t
FALSE,89,89,0,0.00118202850853294,0.000128209743706985,0.000930737410867245,0.00143331960619863,t
FALSE,90,90,0,0.00120040733909757,0.000129900434365548,0.000945802487741096,0.00145501219045404,t
FALSE,91,91,0,0.001216823161402,0.000130506706969692,0.000961030015741402,0.00147261630706259,t
FALSE,92,92,0,0.00123081661731723,0.000130692548545989,0.000974659222167096,0.00148697401246737,t
FALSE,93,93,0,0.00124212603403748,0.000131742446985847,0.00098391083794522,0.00150034123012974,t
FALSE,94,94,0,0.00125070472139627,0.000135403320393448,0.000985314213425112,0.00151609522936743,t
FALSE,95,95,0,0.00125671472628682,0.000143401262991389,0.000975648250823693,0.00153778120174994,t
FALSE,96,96,0,0.00126049694091713,0.00015679321207388,0.000953182245252326,0.00156781163658194,t
FALSE,97,97,0,0.00126252051980893,0.000175619410079594,0.000918306476052927,0.00160673456356494,t
FALSE,98,98,0,0.0012633166535107,0.00019910485907969,0.000873071129714502,0.00165356217730689,t
FALSE,99,99,0,0.00126340245602709,0.000226134748122677,0.000820178349706639,0.00170662656234753,t
FALSE,100,100,0,0.00126320008262812,0.000255645241335947,0.000762135409609661,0.00176426475564657,t
TRUE,0,0,0,0.000513936314324962,5.20941255380332e-05,0.000411831828270417,0.000616040800379507,t
TRUE,1,0,1,0.000643405950850913,5.60906263895414e-05,0.000533468323127412,0.000753343578574414,t
TRUE,2,0,2,0.00080312431100576,5.97564436115693e-05,0.000686001681527085,0.000920246940484436,t
TRUE,3,0,3,0.000995227113777093,6.34945823213709e-05,0.000870777732427206,0.00111967649512698,t
TRUE,4,0,4,0.00121769254469477,6.83504150447041e-05,0.00108372573120715,0.00135165935818239,t
TRUE,5,0,5,0.00146242577221087,7.57437959704488e-05,0.00131396793210879,0.00161088361231295,t
TRUE,6,0,6,0.00171416915712866,8.63754856345888e-05,0.00154487320528486,0.00188346510897245,t
TRUE,7,0,7,0.00195123617247138,9.91505030202379e-05,0.00175690118655171,0.00214557115839104,t
TRUE,8,0,8,0.00214868399099895,0.000111370545167901,0.00193039772246987,0.00236697025952804,t
TRUE,9,0,9,0.0022835370552893,0.000120014435423175,0.00204830876185988,0.00251876534871872,t
TRUE,10,0,10,0.00234047770885685,0.00012310075374376,0.00209920023151908,0.00258175518619462,t
TRUE,11,0,11,0.00231581855663412,0.00012045988054247,0.00207971719077088,0.00255191992249736,t
TRUE,12,0,12,0.00221812785448107,0.000113649581602996,0.0019953746745392,0.00244088103442295,t
TRUE,13,0,13,0.0020653738885936,0.000105105739620793,0.00185936663893684,0.00227138113825035,t
TRUE,14,0,14,0.00187996799623913,9.69805422381164e-05,0.00168988613345243,0.00207004985902584,t
TRUE,15,0,15,0.00168372403488894,9.03301701397275e-05,0.00150667690141507,0.00186077116836281,t
TRUE,16,0,16,0.00149431340814082,8.51111349953035e-05,0.00132749558355003,0.00166113123273162,t
TRUE,17,0,17,0.00132378292841756,8.0783100655176e-05,0.00116544805113342,0.00148211780570171,t
TRUE,18,0,18,0.00117880112307757,7.68845495319148e-05,0.00102810740599501,0.00132949484016012,t
TRUE,19,0,19,0.00106188145040818,7.32408013540812e-05,0.00091832947975418,0.00120543342106218,t
TRUE,20,0,20,0.00097286867798382,6.99068872245855e-05,0.000835851179023632,0.00110988617694401,t
TRUE,21,0,21,0.000910234593820637,6.70470173274291e-05,0.000778822439858876,0.0010416467477824,t
TRUE,22,0,22,0.000871997446346884,6.48525440149985e-05,0.000744886460077487,0.000999108432616281,t
TRUE,23,0,23,0.000856254536024518,6.35120233959709e-05,0.000731770970168415,0.000980738101880621,t
TRUE,24,0,24,0.000861392427866622,6.32121416292688e-05,0.000737496630273255,0.000985288225459989,t
TRUE,25,0,25,0.000886049901331919,6.41416575638444e-05,0.000760332252506784,0.00101176755015705,t
TRUE,26,0,26,0.000928894760907255,6.64729205287562e-05,0.000798607836670893,0.00105918168514362,t
TRUE,27,0,27,0.000988265797789965,7.03053840175227e-05,0.000850467245115621,0.00112606435046431,t
TRUE,28,0,28,0.00106174110509238,7.55777876775276e-05,0.000913608641244426,0.00120987356894033,t
TRUE,29,0,29,0.00114572580419796,8.19842154290526e-05,0.000985036741957013,0.0013064148664389,t
TRUE,30,0,30,0.00123519276513735,8.89440789522766e-05,0.00106086237039089,0.00140952315988381,t
TRUE,31,0,31,0.00132372992596026,9.56645764163429e-05,0.00113622735618423,0.00151123249573629,t
TRUE,32,0,32,0.00140401138559111,0.000101302132963305,0.00120545920498304,0.00160256356619919,t
TRUE,33,0,33,0.00146869663866264,0.000105186706247764,0.00126253069441702,0.00167486258290826,t
TRUE,34,0,34,0.00151159602229748,0.000107029972219217,0.00130181727674782,0.00172137476784715,t
TRUE,35,0,35,0.00152879293664669,0.000107017267319419,0.00131903909270063,0.00173854678059275,t
TRUE,36,0,36,0.00151937318945571,0.000105712729109387,0.00131217624040131,0.00172657013851011,t
TRUE,37,0,37,0.00148552302606755,0.000103798007127758,0.00128207893209715,0.00168896712003796,t
TRUE,38,0,38,0.00143197826933042,0.00010177842522531,0.00123249255588881,0.00163146398277203,t
TRUE,39,0,39,0.00136502874648882,9.98309076001897e-05,0.00116936016759245,0.0015606973253852,t
TRUE,40,0,40,0.00129139919528225,9.78654651723236e-05,0.0010995828835445,0.00148321550702,t
TRUE,41,0,41,0.00121730275417918,9.57101192330161e-05,0.00102971092048247,0.00140489458787589,t
TRUE,42,0,42,0.00114783760190586,9.32729589555976e-05,0.000965022602352893,0.00133065260145884,t
TRUE,43,0,43,0.00108675011545476,9.06080397312046e-05,0.000909158357581597,0.00126434187332792,t
TRUE,44,0,44,0.00103648244084652,8.79006377754839e-05,0.00086419719080657,0.00120876769088647,t
TRUE,45,0,45,0.000998380741721347,8.5418786855577e-05,0.000830959919484416,0.00116580156395828,t
TRUE,46,0,46,0.000972950072576825,8.34643455017375e-05,0.00080935995539342,0.00113654018976023,t
TRUE,47,0,47,0.000960076958714905,8.23325358025725e-05,0.000798705188541863,0.00112144872888795,t
TRUE,48,0,48,0.000959179686708896,8.22731506263623e-05,0.000797924311481226,0.00112043506193657,t
TRUE,49,0,49,0.000969278127808995,8.34448253910453e-05,0.000805726270042546,0.00113282998557544,t
TRUE,50,0,50,0.000988997702274154,8.58642431971622e-05,0.000820703785607716,0.00115729161894059,t
TRUE,51,0,51,0.00101653790906462,8.93664325893422e-05,0.000841379701189508,0.00119169611693973,t
TRUE,52,0,52,0.00104964631555362,9.35980264925949e-05,0.000866194183628134,0.00123309844747911,t
TRUE,53,0,53,0.00108564286816457,9.80573980682285e-05,0.000893450367950847,0.0012778353683783,t
TRUE,54,0,54,0.00112153313693889,0.000102180923701458,0.000921258526484037,0.00132180774739375,t
TRUE,55,0,55,0.00115422911205944,0.000105460958384417,0.000947525633625982,0.0013609325904929,t
TRUE,56,0,56,0.00118086326692522,0.000107568901943036,0.000970028219116867,0.00139169831473357,t
TRUE,57,0,57,0.00119914413521345,0.000108445961587147,0.000986590050502637,0.00141169821992425,t
TRUE,58,0,58,0.00120767436728899,0.000108321415149445,0.000995364393596074,0.0014199843409819,t
TRUE,59,0,59,0.00120614969555185,0.000107633726320658,0.000995187591963357,0.00141711179914034,t
TRUE,60,0,60,0.0011953847758979,0.000106869053848917,0.000985921430354026,0.00140484812144178,t
TRUE,61,0,61,0.00117716042637019,0.000106382174984934,0.000968651363399714,0.00138566948934066,t
TRUE,62,0,62,0.00115393644107221,0.000106288970820498,0.000945610058264035,0.00136226282388039,t
TRUE,63,0,63,0.00112850483296734,0.000106481347654821,0.000919801391563888,0.00133720827437078,t
TRUE,64,0,64,0.00110366039168794,0.000106736445400722,0.000894456958702529,0.00131286382467336,t
TRUE,65,0,65,0.00108194308321467,0.000106844438988934,0.000872527982796363,0.00129135818363298,t
TRUE,66,0,66,0.00106547343824775,0.000106696757773084,0.000856347793012505,0.001274599083483,t
TRUE,67,0,67,0.00105587176458608,0.000106322205562092,0.000847480241684377,0.00126426328748778,t
TRUE,68,0,68,0.0010542334015655,0.000105887138014798,0.000846694611056492,0.0012617721920745,t
TRUE,69,0,69,0.00106112714040506,0.00010567712868525,0.000853999968181969,0.00126825431262815,t
TRUE,70,0,70,0.00107658971271803,0.000106063186363768,0.00086870586744504,0.00128447355799101,t
TRUE,71,0,71,0.00110010193397177,0.000107440453130222,0.000889518645836533,0.001310685222107,t
TRUE,72,0,72,0.00113054829745541,0.000110125950941545,0.000914701433609984,0.00134639516130084,t
TRUE,73,0,73,0.00116617881998971,0.000114225308888351,0.00094229721456854,0.00139006042541088,t
TRUE,74,0,74,0.00120460655415848,0.000119517119281143,0.000970353000367442,0.00143886010794952,t
TRUE,75,0,75,0.00124288170522961,0.000125421060204087,0.000997056427229604,0.00148870698322962,t
TRUE,76,0,76,0.00127767790051055,0.000131086780883965,0.00102074780997798,0.00153460799104312,t
TRUE,77,0,77,0.00130560355379669,0.000135588044591148,0.00103985098639804,0.00157135612119534,t
TRUE,78,0,78,0.00132361296522118,0.000138168857749699,0.00105280200403177,0.00159442392641059,t
TRUE,79,0,79,0.00132944840616223,0.000138472321199368,0.00105804265661147,0.00160085415571299,t
TRUE,80,0,80,0.00132201418561785,0.00013667874395424,0.00105412384746754,0.00158990452376816,t
TRUE,81,0,81,0.00130158445608037,0.000133488182630719,0.00103994761812416,0.00156322129403658,t
TRUE,82,0,82,0.00126978466665504,0.000129916461447597,0.00101514840221775,0.00152442093109233,t
