bin,faceoff_won,y
1,TRUE,0.00455580865603645
3,TRUE,0.12334117539572
5,TRUE,0.263034288398309
7,TRUE,0.29490550736035
9,TRUE,0.224822441367329
11,TRUE,0.190078935557961
13,TRUE,0.128191141173904
15,TRUE,0.132338448542869
17,TRUE,0.12228142195825
19,TRUE,0.075106651445052
21,TRUE,0.105504871842612
23,TRUE,0.128188693757211
25,TRUE,0.112627534119518
27,TRUE,0.140555365101131
29,TRUE,0.113692887088752
31,TRUE,0.142961876832845
33,TRUE,0.124900647212445
35,TRUE,0.136665365091761
1,FALSE,0
3,FALSE,0.0167168171180207
5,FALSE,0.0241120729149085
7,FALSE,0.0492404658148066
9,FALSE,0.069234319708703
11,FALSE,0.061116573220312
13,FALSE,0.0602360156613641
15,FALSE,0.0505887973918664
17,FALSE,0.0896471949103528
19,FALSE,0.0985192261762599
21,FALSE,0.123285560178764
23,FALSE,0.120915136665924
25,FALSE,0.111717158441217
27,FALSE,0.115265959250093
29,FALSE,0.108471255117394
31,FALSE,0.0974905217548294
33,FALSE,0.118967953007659
35,FALSE,0.0921835990013443
37,FALSE,0.0911071499306794
39,FALSE,0.110204081632653
41,FALSE,0.109381573411864
43,FALSE,0.147665580890337
45,FALSE,0.11633630140051
47,FALSE,0.0786782061369001
49,FALSE,0.0957487552661815
51,FALSE,0.0791178361271819
53,FALSE,0.0561052738957462
55,FALSE,0.15785319652723
57,FALSE,0.076103500761035
59,FALSE,0.123159603650003
37,TRUE,0.0928580079938633
39,TRUE,0.125125125125125
41,TRUE,0.12041974883881
43,TRUE,0.110958235320225
45,TRUE,0.132741337483407
47,TRUE,0.151443445338381
49,TRUE,0.117577895355673
51,TRUE,0.080947080845897
53,TRUE,0.109586181704326
55,TRUE,0.0968314594652752
57,TRUE,0.105368234250222
59,TRUE,0.108670784717456
